 


Sub-Daily Data Between Two Dates
TRAVERSE CITY CHERRY CPTL AP (MI)
14850
Lat/Lon/Elev: 44.7408/-85.5825/618 ft

Date,Time,Temp (F),RH (%),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Low Cloud Ht (ft),Med Cloud Ht (ft),High Cloud Ht (ft),Visibility (mi),Atm Press (hPa),Sea Lev Press (hPa),Altimeter (hPa),Precip (in),Wind Chill (F),Heat Index (F),
2011-09-01,00:53,65,84,60,0,0,m,0,m,m,10,992.30,1015.00,1015.20,0.00,NC,NC,
2011-09-01,01:53,62,89,59,0,0,m,0,m,m,6,992.30,1014.80,1015.20,0.00,NC,NC,
2011-09-01,02:53,62,89,59,0,0,m,0,m,m,6,992.00,1014.80,1014.90,0.00,NC,NC,
2011-09-01,03:53,61,93,59,0,0,m,0,m,m,4,992.00,1014.70,1014.90,0.00,NC,NC,
2011-09-01,04:53,60,92,58,0,0,m,0,m,m,3,992.00,1014.80,1014.90,0.00,NC,NC,
2011-09-01,05:53,60,92,58,0,0,m,0,m,m,4,992.00,1014.60,1014.90,0.00,NC,NC,
2011-09-01,06:53,61,93,59,0,0,m,0,m,m,4,992.70,1015.40,1015.60,0.00,NC,NC,
2011-09-01,07:53,66,87,62,0,0,m,14000,m,m,6,993.00,1015.70,1015.90,0.00,NC,NC,
2011-09-01,08:53,72,68,61,0,0,m,0,m,m,10,993.30,1015.90,1016.30,0.00,NC,NC,
2011-09-01,09:53,74,63,61,6,30,m,0,m,m,10,993.00,1015.40,1015.90,0.00,NC,NC,
2011-09-01,10:53,76,59,61,7,360,m,18000,m,m,10,992.70,1015.30,1015.60,0.00,NC,NC,
2011-09-01,11:53,79,58,63,3,40,m,20000,m,m,10,992.00,1014.40,1014.90,0.00,NC,NC,
2011-09-01,12:53,82,56,65,6,20,m,20000,m,m,10,991.00,1013.60,1013.90,0.00,NC,84,
2011-09-01,13:53,84,52,65,6,20,m,20000,m,m,10,990.70,1013.30,1013.50,0.00,NC,86,
2011-09-01,14:53,85,49,64,6,30,m,20000,m,m,10,990.30,1013.00,1013.20,0.00,NC,86,
2011-09-01,15:53,83,56,66,8,20,m,20000,m,m,10,989.70,1012.10,1012.50,0.00,NC,85,
2011-09-01,16:53,81,64,68,5,50,m,16000,25000,m,10,989.30,1012.00,1012.20,0.00,NC,84,
2011-09-01,17:53,82,54,64,0,0,m,16000,25000,m,10,988.70,1011.30,1011.50,0.00,NC,83,
2011-09-01,18:53,79,62,65,0,0,m,22000,m,m,10,988.70,1011.10,1011.50,0.00,NC,NC,
2011-09-01,19:53,76,71,66,0,0,m,6000,22000,m,10,988.70,1011.10,1011.50,0.00,NC,NC,
2011-09-01,20:53,80,62,66,3,M,m,6000,22000,m,10,988.30,1010.80,1011.20,0.00,NC,NC,
2011-09-01,21:53,80,62,66,3,M,m,0,m,m,10,987.70,1010.00,1010.50,0.00,NC,NC,
2011-09-01,22:53,81,62,67,5,M,m,0,m,m,10,988.00,1010.30,1010.80,0.00,NC,83,
2011-09-01,23:53,81,69,70,6,M,m,10000,m,m,10,987.70,1009.90,1010.50,0.00,NC,84,
2011-09-02,00:53,82,64,69,6,M,m,0,m,m,10,986.70,1008.90,1009.50,0.00,NC,85,
2011-09-02,01:53,82,56,65,7,M,m,0,m,m,10,986.70,1009.10,1009.50,0.00,NC,84,
2011-09-02,02:53,83,54,65,6,M,m,0,m,m,10,986.00,1008.40,1008.80,0.00,NC,85,
2011-09-02,03:53,82,62,68,7,210,m,0,m,m,10,986.40,1008.40,1009.10,0.00,NC,85,
2011-09-02,04:53,82,60,67,7,200,m,0,m,m,10,986.00,1008.30,1008.80,0.00,NC,84,
2011-09-02,05:53,83,58,67,6,M,m,5000,12000,18000,10,985.40,1007.60,1008.10,0.00,NC,85,
2011-09-02,06:53,83,58,67,10,210,21,4500,15000,22000,9,985.40,1007.50,1008.10,0.00,NC,85,
2011-09-02,07:53,84,58,68,13,220,24,8000,15000,m,8,985.40,1007.80,1008.10,0.00,NC,87,
2011-09-02,08:53,83,63,69,9,210,18,18000,m,m,8,985.00,1007.10,1007.80,0.00,NC,87,
2011-09-02,09:53,87,55,69,15,230,28,18000,25000,m,8,985.40,1007.40,1008.10,0.00,NC,91,
2011-09-02,10:53,88,53,69,15,250,25,4000,16000,m,8,986.40,1008.60,1009.10,0.00,NC,92,
2011-09-02,11:53,85,59,69,20,250,31,3500,5000,15000,7,988.30,1010.70,1011.20,0.00,NC,89,
2011-09-02,12:53,77,81,71,7,230,m,4200,9500,12000,5,989.30,1011.60,1012.20,0.02,NC,NC,
2011-09-02,13:53,77,81,71,5,180,m,4700,9000,15000,7,988.00,1010.30,1010.80,0.00,NC,NC,
2011-09-02,14:53,79,76,71,5,M,m,5000,11000,15000,10,987.00,1009.20,1009.80,0.01,NC,NC,
2011-09-02,15:53,80,71,70,5,190,m,5000,12000,20000,10,985.70,1008.10,1008.50,0.00,NC,NC,
2011-09-02,16:53,83,56,66,16,260,24,6000,14000,22000,10,987.70,1009.80,1010.50,0.00,NC,85,
2011-09-02,17:53,82,56,65,10,250,20,6000,14000,22000,10,988.30,1010.50,1011.20,0.00,NC,84,
2011-09-02,18:53,79,62,65,7,M,m,6000,14000,22000,10,988.00,1010.40,1010.80,0.00,NC,NC,
2011-09-02,19:53,77,68,66,0,0,m,6500,16000,25000,10,989.00,1011.60,1011.90,0.00,NC,NC,
2011-09-02,20:53,74,76,66,5,190,m,8000,15000,m,10,989.70,1011.90,1012.50,0.00,NC,NC,
2011-09-02,21:53,74,78,67,0,0,m,2400,m,m,10,990.00,1012.50,1012.90,0.00,NC,NC,
2011-09-02,22:53,75,75,67,0,0,m,2000,2900,m,10,990.30,1012.60,1013.20,0.00,NC,NC,
2011-09-02,23:53,71,86,67,0,0,m,12000,m,m,10,990.00,1012.30,1012.90,0.00,NC,NC,
2011-09-03,00:51,72,88,68,5,30,m,700,m,m,10,989.70,M,1012.50,m,NC,NC,
2011-09-03,01:53,71,86,67,3,10,m,700,m,m,10,989.70,1012.10,1012.50,0.00,NC,NC,
2011-09-03,02:53,71,86,67,6,30,m,800,1400,m,10,989.30,1011.90,1012.20,0.00,NC,NC,
